2019-08-06	오전 9:22
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.506650E-11	514.766000
1.507080E-11	409.245000
1.507780E-11	454.745000
1.506320E-11	560.820000
1.505900E-11	677.100000
1.505420E-11	627.123000
1.504710E-11	484.787000
1.565120E-11	367.658000
1.571510E-11	420.193000
1.572390E-11	338.942000
1.573970E-11	284.201000
1.574700E-11	416.343000
1.574340E-11	304.695000
1.573590E-11	366.332000
1.574850E-11	323.946000
1.574150E-11	296.811000
1.573270E-11	305.425000
1.574730E-11	263.583000
1.574040E-11	273.004000
1.573890E-11	382.237000
1.574200E-11	396.040000
1.574000E-11	370.210000
1.573950E-11	358.210000
1.574320E-11	361.437000
1.575110E-11	266.517000
1.574710E-11	273.960000
1.574400E-11	273.362000
1.574820E-11	270.693000
1.574870E-11	345.760000
1.574050E-11	338.204000
1.574810E-11	351.766000
1.573830E-11	276.815000
1.574450E-11	337.188000
1.574920E-11	311.209000
1.574430E-11	280.730000
1.575410E-11	302.409000
1.575250E-11	332.248000
1.574170E-11	388.846000
1.572920E-11	283.238000
1.572980E-11	273.407000
1.573500E-11	291.268000
1.573850E-11	272.070000
1.572760E-11	385.103000
1.574340E-11	315.252000
1.574030E-11	316.661000
1.572940E-11	293.554000
1.572860E-11	341.215000
1.573060E-11	271.844000
1.571710E-11	321.219000
1.571850E-11	278.014000
1.571330E-11	306.679000
1.571300E-11	397.501000
1.572240E-11	363.196000
1.573200E-11	349.495000
1.572570E-11	372.277000
1.569970E-11	334.934000
1.569800E-11	271.590000
1.569070E-11	307.017000
1.569260E-11	311.090000
1.568690E-11	332.479000
1.568520E-11	313.873000
1.568210E-11	434.429000
1.575890E-11	382.602000
1.578980E-11	260.276000
1.579360E-11	275.009000
1.579390E-11	349.719000
1.579580E-11	271.469000
1.580470E-11	293.049000
1.581020E-11	259.210000
1.579590E-11	318.926000
1.579220E-11	356.075000
1.579330E-11	307.547000
1.579620E-11	324.883000
1.579440E-11	391.495000
1.580680E-11	294.809000
1.579930E-11	307.964000
1.579580E-11	293.975000
1.580940E-11	270.383000
1.580350E-11	255.841000
1.579770E-11	366.403000
1.578290E-11	361.133000
1.578550E-11	279.319000
1.579340E-11	276.870000
1.578800E-11	411.676000
1.579340E-11	317.691000
1.579070E-11	378.097000
1.580250E-11	330.280000
1.579460E-11	325.472000
1.579460E-11	278.160000
1.580140E-11	281.898000
1.579830E-11	289.235000
1.578900E-11	314.306000
1.579160E-11	315.905000
1.578890E-11	314.830000
1.578380E-11	347.684000
1.578170E-11	292.808000
1.578790E-11	319.639000
1.577910E-11	319.612000
1.577750E-11	276.080000
1.578580E-11	327.399000
1.577730E-11	354.974000
1.577060E-11	332.569000
1.576980E-11	351.329000
1.577710E-11	285.270000
1.576500E-11	352.584000
1.575330E-11	374.817000
1.574920E-11	289.252000
1.573880E-11	437.256000
1.576110E-11	408.102000
1.578630E-11	329.737000
1.579740E-11	287.866000
1.582630E-11	310.314000
1.583550E-11	287.585000
1.583970E-11	275.609000
1.582950E-11	300.097000
1.582230E-11	328.706000
1.582860E-11	356.285000
1.583230E-11	308.403000
1.583730E-11	306.410000
1.583590E-11	324.137000
1.583760E-11	341.288000
1.582370E-11	327.954000
1.583460E-11	315.036000
1.583820E-11	319.539000
1.582710E-11	291.944000
1.583410E-11	304.626000
1.583100E-11	331.008000
1.582480E-11	311.557000
1.581740E-11	284.798000
1.582380E-11	308.014000
1.582570E-11	306.192000
1.582710E-11	314.527000
1.581980E-11	327.994000
1.582500E-11	382.781000
1.582750E-11	341.030000
1.582090E-11	322.707000
1.582090E-11	279.585000
1.582400E-11	342.629000
1.582290E-11	270.528000
1.582280E-11	398.058000
1.582270E-11	298.186000
1.581800E-11	295.644000
1.580490E-11	308.684000
1.579430E-11	287.895000
1.578740E-11	265.886000
1.576900E-11	307.312000
1.577040E-11	358.043000
1.577140E-11	301.295000
1.579070E-11	357.896000
1.579750E-11	325.960000
1.582520E-11	317.838000
1.584950E-11	304.411000
1.583710E-11	306.431000
1.583190E-11	261.433000
1.582490E-11	289.456000
1.583110E-11	276.024000
1.582890E-11	294.618000
1.584080E-11	324.908000
1.582980E-11	376.443000
1.582460E-11	282.956000
1.582860E-11	309.503000
1.582670E-11	292.185000
1.582730E-11	272.831000
1.583060E-11	317.829000
1.583650E-11	401.318000
1.583980E-11	331.894000
1.585470E-11	345.516000
1.583960E-11	343.159000
1.584830E-11	331.358000
1.584990E-11	276.763000
1.584330E-11	275.941000
1.584700E-11	312.444000
1.583650E-11	379.301000
1.584480E-11	273.983000
1.583730E-11	310.767000
1.583610E-11	316.970000
1.583450E-11	305.121000
1.583190E-11	321.791000
1.584130E-11	342.498000
1.583580E-11	364.330000
1.582890E-11	347.940000
1.584100E-11	348.909000
1.585040E-11	304.314000
1.584320E-11	355.001000
1.583670E-11	376.807000
1.583310E-11	345.516000
1.584310E-11	284.011000
1.582900E-11	262.670000
1.582330E-11	295.237000
1.582850E-11	381.979000
1.583230E-11	331.180000
1.581020E-11	320.758000
1.581030E-11	364.791000
1.579500E-11	299.755000
1.580930E-11	273.420000
1.581070E-11	377.190000
1.582050E-11	311.612000
1.586140E-11	299.876000
1.586860E-11	345.193000
1.587940E-11	301.755000
1.586540E-11	262.733000
1.587200E-11	276.931000
1.587630E-11	283.199000
1.587640E-11	294.155000
1.586310E-11	266.183000
1.586690E-11	353.556000
1.586520E-11	356.709000
1.586210E-11	326.648000
1.586930E-11	248.937000
1.587090E-11	342.286000
1.587050E-11	256.296000
1.586400E-11	338.101000
1.586980E-11	305.837000
1.586380E-11	253.479000
1.586200E-11	257.626000
1.586380E-11	294.761000
1.585970E-11	284.428000
1.585750E-11	277.661000
1.585300E-11	333.844000
1.586740E-11	318.031000
1.586260E-11	331.351000
1.585000E-11	333.434000
1.585510E-11	306.409000
1.587130E-11	313.911000
1.587300E-11	331.517000
1.586370E-11	379.126000
1.585340E-11	294.770000
1.586670E-11	298.741000
1.585310E-11	282.563000
1.586440E-11	294.710000
1.585950E-11	272.314000
1.584940E-11	315.253000
1.585170E-11	356.203000
1.585920E-11	291.040000
1.585580E-11	301.112000
1.585900E-11	282.457000
1.586770E-11	337.425000
1.585610E-11	343.739000
1.585170E-11	314.104000
1.585530E-11	279.158000
1.587060E-11	318.247000
1.585860E-11	258.371000
1.586190E-11	260.141000
1.586400E-11	284.858000
1.586590E-11	347.517000
1.585380E-11	282.273000
1.585550E-11	384.937000
1.585260E-11	287.773000
1.584810E-11	270.873000
1.584890E-11	368.527000
1.584930E-11	286.612000
1.583480E-11	335.095000
1.582950E-11	306.278000
1.583100E-11	379.461000
1.583040E-11	259.143000
1.587460E-11	364.904000
1.587650E-11	274.845000
1.587730E-11	297.133000
1.587530E-11	250.172000
1.586890E-11	342.151000
1.586440E-11	315.993000
1.587190E-11	262.373000
1.588220E-11	283.008000
1.586720E-11	348.868000
1.588130E-11	273.680000
1.587040E-11	306.039000
1.587730E-11	365.109000
1.588310E-11	288.453000
1.588710E-11	282.710000
1.588070E-11	339.700000
1.587860E-11	317.771000
1.588050E-11	258.942000
1.586460E-11	289.812000
1.588140E-11	269.941000
1.588480E-11	290.629000
1.588390E-11	320.143000
1.586330E-11	277.811000
1.587590E-11	347.634000
1.587240E-11	337.446000
1.586430E-11	282.356000
1.587560E-11	243.462000
1.587820E-11	350.922000
1.587750E-11	269.090000
1.587110E-11	316.593000
1.587730E-11	374.826000
1.587780E-11	278.442000
1.588090E-11	270.702000
1.587340E-11	315.645000
1.587650E-11	306.029000
1.587330E-11	259.993000
1.586560E-11	272.514000
1.587790E-11	260.713000
1.587930E-11	300.592000
1.586760E-11	282.507000
1.585510E-11	279.845000
1.586310E-11	338.467000
1.585420E-11	336.068000
1.585000E-11	297.420000
1.586560E-11	260.305000
1.586540E-11	361.534000
1.587140E-11	285.163000
1.586120E-11	302.719000
1.586760E-11	370.112000
1.587070E-11	283.909000
1.586150E-11	306.099000
1.584170E-11	380.904000
1.583590E-11	318.405000
1.584440E-11	336.104000
1.583090E-11	255.945000
1.585250E-11	328.555000
1.585770E-11	329.130000
1.586880E-11	350.598000
1.588280E-11	250.046000
1.587720E-11	307.545000
1.586410E-11	261.505000
1.587100E-11	264.117000
1.587370E-11	360.089000
1.586150E-11	296.455000
1.586720E-11	332.092000
1.585840E-11	361.579000
1.585950E-11	287.056000
1.586260E-11	374.904000
1.585970E-11	357.183000
1.586060E-11	314.159000
1.586430E-11	301.089000
1.587060E-11	356.534000
1.588500E-11	310.499000
1.587680E-11	312.517000
1.586980E-11	262.881000
1.588730E-11	327.351000
1.588930E-11	309.019000
1.588440E-11	247.844000
1.589170E-11	274.829000
1.587740E-11	288.314000
1.587460E-11	301.500000
1.588460E-11	274.932000
1.587160E-11	281.918000
1.588980E-11	305.279000
1.588140E-11	312.428000
1.587660E-11	264.881000
1.587470E-11	272.091000
1.587510E-11	272.455000
1.587230E-11	274.867000
1.586250E-11	287.732000
1.585920E-11	344.592000
1.586620E-11	272.358000
1.586700E-11	273.395000
1.587650E-11	278.227000
1.587620E-11	277.967000
